contrast,mutation_class,ratio,SE,df,null,z.ratio,p_value_bonferroni,significant,sig_label
lmonocytogenesA / mtuberculosis,T->A,1.5475523229102974,0.40698797719544083,Inf,1,1.6604340442559298,1,FALSE,ns
lmonocytogenesA / nmeningitidis,T->A,15.244095824715798,4.589678799284413,Inf,1,9.04809460759396,1.3239107392052466e-17,TRUE,***
lmonocytogenesA / paeruginosa,T->A,1.6566956658018541,0.4327646776115932,Inf,1,1.9325548622408923,1,FALSE,ns
lmonocytogenesA / sagalactiae,T->A,1.2446709074661912,0.32625624413997467,Inf,1,0.8349957272460682,1,FALSE,ns
lmonocytogenesA / saureus,T->A,0.6591848328512067,0.17122418397104475,Inf,1,-1.6044237188810442,1,FALSE,ns
lmonocytogenesA / sepidermidis,T->A,0.5325451438383254,0.13823160033590284,Inf,1,-2.427448535122165,1,FALSE,ns
lmonocytogenesA / spneumoniae,T->A,2.9688323579219986,0.792088764253735,Inf,1,4.078571345019836,0.004123510040701131,TRUE,**
mtuberculosis / nmeningitidis,T->A,9.850455845039244,2.984747606088188,Inf,1,7.549413014253675,3.978741061909687e-12,TRUE,***
mtuberculosis / paeruginosa,T->A,1.0705264314981633,0.2820241506493213,Inf,1,0.2586903721531521,1,FALSE,ns
mtuberculosis / sagalactiae,T->A,0.8042835702805103,0.2126021879700838,Inf,1,-0.8239598841058698,1,FALSE,ns
mtuberculosis / saureus,T->A,0.4259531798004452,0.111594385941913,Inf,1,-3.257506634152198,0.10228002431468483,FALSE,ns
mtuberculosis / sepidermidis,T->A,0.34412092951844825,0.09009277046344445,Inf,1,-4.0746352755024935,0.004193873133906368,TRUE,**
mtuberculosis / spneumoniae,T->A,1.918405157596784,0.5160060176739685,Inf,1,2.4221225696526054,1,FALSE,ns
nmeningitidis / paeruginosa,T->A,0.1086778569782928,0.03276391844113812,Inf,1,-7.361636948829577,1.6531833891626185e-11,TRUE,***
nmeningitidis / sagalactiae,T->A,0.0816493757175261,0.02467912549043726,Inf,1,-8.288701490237244,1.0418724909395405e-14,TRUE,***
nmeningitidis / saureus,T->A,0.0432419764629429,0.012981532954214343,Inf,1,-10.462601663117997,1.1673846476934381e-23,TRUE,***
nmeningitidis / sepidermidis,T->A,0.034934518252954766,0.010482039130171263,Inf,1,-11.17913701039575,4.694617348763217e-27,TRUE,***
nmeningitidis / spneumoniae,T->A,0.194752932024248,0.05965678735555819,Inf,1,-5.340890705127214,8.416681803449373e-6,TRUE,***
paeruginosa / sagalactiae,T->A,0.7512972558322959,0.19727582329792506,Inf,1,-1.0890152218986853,1,FALSE,ns
paeruginosa / saureus,T->A,0.3978913245554704,0.1035366699910754,Inf,1,-3.541617095919052,0.03618908952618706,TRUE,*
paeruginosa / sepidermidis,T->A,0.32145019440282613,0.08358676694427286,Inf,1,-4.364541298697178,0.0011592470175648619,TRUE,**
paeruginosa / spneumoniae,T->A,1.7920203566688635,0.47891936185681366,Inf,1,2.182755224413541,1,FALSE,ns
sagalactiae / saureus,T->A,0.5296057205941498,0.13828958740448374,Inf,1,-2.434234594185622,1,FALSE,ns
sagalactiae / sepidermidis,T->A,0.42786020035001965,0.11164389267733084,Inf,1,-3.2535202896652913,0.10372597237146823,FALSE,ns
